Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
100524,6,-0.341431067146,-0.348897216684,-0.344298987005,-0.263014044429,2.65446055488,1.318909517722,0.004266593934,-1.193557115192,0.958594143234,0.591739067935,-0.815095636609,-0.738143288417,-0.586516001464,-0.506633376076,0.882816280257,2.934421214507,0.761287570712,O18,0,+,1.0,-107.185821,O18,0,+,1.0,-107.185821,7.28535375,0.1426297890691967,0.0194535958004597,2.8474722166984625,8,10,-103.15602,2.581741,2.6069844153737614,0.029724612731366007
100673,6,-0.329452227801,-0.326489465943,-0.326299209016,-0.251406311712,2.297465351425,0.720060680001,-0.020300749789,-0.878688929483,0.873867719057,0.493219893286,-0.873164063714,-0.727995900548,-0.427929878732,-0.668971876839,1.013713892044,-0.864257142112,-0.342892905177,O18,0,+,1.0,-104.2922394,O18,0,+,1.0,-104.2922394,7.05724991,0.1188070954619918,0.0170034802822578,2.802449174515793,8,10,-100.29439,2.5378344,2.604415273470403,0.030882585145096352
101992,6,-0.342090504902,-0.348513177984,-0.344333061066,-0.264962365967,2.684727073382,0.960744831497,-0.0205007598,-0.971470145968,0.986545388226,0.585594584004,-0.925106745198,-0.703875811542,-0.561737133638,-0.513328280823,0.926378846133,-2.307873830515,-0.349008067909,O18,0,+,1.0,-111.790975,O18,0,+,1.0,-111.790975,6.81522072,0.0775774339747516,0.01858204485541,2.7517341966167743,8,10,-107.69827,2.4824934,2.4998522267339434,0.031006136764109758
111123,6,-0.339418026889,-0.338165754205,-0.337805768047,-0.23600780605,2.510679475784,0.430945639705,0.058425351218,-0.871905379576,0.745008086931,0.353839755451,-0.787616268025,-0.759662778228,-0.3737725643,-0.788715042948,1.082941089284,3.262141320723,0.648280219236,O18,0,+,1.0,-106.897781,O18,0,+,1.0,-106.897781,7.49678459,0.1792312243541819,0.0201490408287859,2.8908174873524906,8,10,-103.6004,2.6617835,2.6444026879925095,0.029912962815890863
111185,6,-0.333584584391,-0.327803127995,-0.333016554071,-0.237843353611,2.343041945087,0.5181796906,0.004665318362,-1.048761992169,0.850869033086,0.250016341659,-0.733507096751,-0.736509382878,-0.407460331641,-0.718543544398,1.013807280277,-0.386337967289,-0.252156633385,O18,0,+,1.0,-93.3186028,O18,0,+,1.0,-93.3186028,7.65167428,0.2085673829854421,0.0183308413605926,2.9221966727696533,8,10,-88.77921,2.6657817,2.6199171196851556,0.0300657911441661
113336,6,-0.322137090248,-0.317474525209,-0.320253991876,-0.236049086293,2.165168207731,0.455610198655,0.09913323755,-1.154477705422,0.657363367884,0.475494423855,-0.761621985958,-0.715737562193,-0.289823284924,-0.885513642333,1.081308451509,1.851351414094,0.047866599379,O18,0,+,1.0,-107.6115045,O18,0,+,1.0,-107.6115045,7.01881591,0.164531423311642,0.0179318204457728,2.8039151277735592,8,10,-102.97999,2.5474,2.5770233186574742,0.031178616794970925
114257,6,-0.344307051667,-0.341559680409,-0.338395666232,-0.232255391959,2.626173998472,1.018979855522,-0.002021075991,-0.959948015729,0.71330705161,0.322129160272,-0.774966532999,-0.728311236382,-0.378697344818,-0.743711119261,0.974970673626,-3.709478559641,-0.550777771143,O18,0,+,1.0,-96.5914814,O18,0,+,1.0,-96.5914814,7.19702655,0.1312072176021101,0.0170376699867718,2.829475627671828,8,10,-92.83161,2.5657759,2.441949251811591,0.028700136519290233
115410,6,-0.321197647663,-0.320607593757,-0.319847440164,-0.242880755543,2.221346012916,0.702727354036,0.187949621291,-0.802785641631,0.738540539569,0.52432547225,-0.7096461631,-0.708336381118,-0.191058389732,-0.984671693959,1.130313993826,1.533700309692,0.050297869194,O18,0,+,1.0,-98.9720024,O18,0,+,1.0,-98.9720024,7.66138981,0.1907233138460547,0.0215643463751539,2.921358992014026,8,10,-95.95912,2.6802726,2.4024867133381593,0.027998147964601948
116923,6,-0.326371483194,-0.330966230748,-0.3230516726,-0.262810922174,2.407438759356,0.953840053502,0.062703870969,-1.0841824261,0.96739247548,0.589808653614,-0.808425110435,-0.724590828379,-0.388705372066,-0.760103803065,0.979489899025,3.861487646514,0.891730751193,O18,0,+,1.0,-115.42184,O18,0,+,1.0,-115.42184,7.05341164,0.1268399009466841,0.0172919035986869,2.803248889154399,8,10,-112.49122,2.551298,2.5785968286184797,0.03078081795438147
122257,6,-0.34576866788,-0.337454678223,-0.339130657027,-0.255119843637,2.448857721735,0.409961421744,-0.016739984414,-0.927037003931,0.851288587128,0.570741357704,-0.764659761022,-0.705359764678,-0.506832092339,-0.598153736773,0.93111718093,0.281061966905,-0.229089700356,O18,0,+,1.0,-98.3750358,O18,0,+,1.0,-98.3750358,7.39104188,0.2191754619598437,0.022645205437239,2.8798478149716664,8,10,-94.725464,2.6315007,2.6228986482241154,0.030119910446171794
